food_original,mapping_kind,mapped_tbca_name,tbca_code,tbca_record_name,tbca_record_exists,carbon_gco2e_per_100g,water_l_per_100g,ecological_points_per_100g,environmental_mapping_exists,occurrence_count,profiles,used_names_sharing_target,all_map_names_sharing_target,ambiguity_flags,selection_provenance
"Abacate, polpa, in natura",non_identity_unreviewed,"Abacate, polpa,in natura, Brasil",BRC0001C,"Abacate, polpa,in natura, Brasil",True,51.0,145.0,0.7,True,97,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Abacaxi, polpa, in natura",non_identity_unreviewed,"Abacaxi, polpa,in natura, Brasil",BRC0002C,"Abacaxi, polpa,in natura, Brasil",True,40.0,25.0,0.8,True,39,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal",identity,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0152B,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal",True,35.0,105.0,0.2,True,24,regular|vegetarian,1,1,none,identity_match
"Abobrinha, italiana, c/ casca, crua",non_identity_unreviewed,"Abobrinha, italiana, c/ casca, crua, Brasil",BRC0006B,"Abobrinha, italiana, c/ casca, crua, Brasil",True,22.0,104.0,0.2,True,2,regular,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",identity,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",BRC0153B,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",True,37.0,111.0,0.2,True,122,regular|vegan|vegetarian,1,1,none,identity_match
"Abóbora, moranga, refogada (c/ óleo, cebolha e alho), c/ sal",non_identity_unreviewed,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal",BRC0151B,"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal",True,61.0,88.0,0.2,True,77,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal",non_identity_unreviewed,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, Brasil",BRC0355B,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, Brasil",True,69.0,81.0,0.2,True,11,vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",identity,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",BRC0166B,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",True,60.0,81.0,0.2,True,13,vegetarian,1,1,none,identity_match
"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",identity,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",BRC0228B,"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",True,47.0,81.0,0.2,True,10,vegetarian,1,1,none,identity_match
"Acelga, crua",non_identity_unreviewed,"Acelga, crua, Brasil",BRC0007B,"Acelga, crua, Brasil",True,37.0,46.0,0.2,True,46,regular|vegan|vegetarian,1,2,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Achocolatado, pó (média diferentes amostras)",non_identity_unreviewed,"Achocolatado, em pó (média diferentes amostras), Brasil",BRC0001K,"Achocolatado, em pó (média diferentes amostras), Brasil",True,80.0,1166.0,5.8,True,1,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Alface, crua",non_identity_unreviewed,"Alface, crua, Brasil",BRC0009B,"Alface, crua, Brasil",True,41.0,51.0,0.3,True,222,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Alho, refogado c/ óleo de soja, s/ sal",non_identity_unreviewed,"Alho, refogado (c/ óleo de soja), s/ sal, Brasil",BRC0113B,"Alho, refogado (c/ óleo de soja), s/ sal, Brasil",True,59.0,325.0,0.2,True,2,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Almeirão, cru",non_identity_unreviewed,"Amendoim, grão, cru, Brasil",BRC0020T,"Amendoim, grão, cru, Brasil",True,39.0,48.0,0.2,True,11,vegan|vegetarian,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Amendoim, grão, cru",non_identity_unreviewed,"Amendoim, grão, cru, Brasil",BRC0020T,"Amendoim, grão, cru, Brasil",True,133.0,270.0,0.6,True,69,regular|vegan|vegetarian,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Amendoim, torrado, c/ sal",non_identity_unreviewed,"Amendoim, torrado, c/ sal, Brasil",BRC0021T,"Amendoim, torrado, c/ sal, Brasil",True,133.0,270.0,0.6,True,75,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Amêndoa, torrada, c/ sal",non_identity_unreviewed,"Amêndoa, torrada, c/ sal, Brasil",BRC0001U,"Amêndoa, torrada, c/ sal, Brasil",True,471.0,1912.0,3.4,True,68,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Arroz com brócolis, c/ arroz polido, c/ sal",identity,"Arroz com brócolis, c/ arroz polido, c/ sal",BRC0545A,"Arroz com brócolis, c/ arroz polido, c/ sal",True,101.0,71.0,0.4,True,17,regular|vegetarian,1,1,none,identity_match
"Arroz, creme, cozido, s/ tempero",non_identity_unreviewed,"Arroz, creme, cozido, s/ tempero, Brasil",BRC0012A,"Arroz, creme, cozido, s/ tempero, Brasil",True,421.0,210.0,0.8,True,8,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Arroz, integral, cozido, c/ óleo, cebolha e alho, c/ sal",non_identity_unreviewed,"Arroz, integral, cozido, c/ óleo, cebola e alho, s/ sal",BRC0210A,"Arroz, integral, cozido, c/ óleo, cebola e alho, s/ sal",True,102.0,55.0,0.4,True,391,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal",non_identity_unreviewed,"Arroz selvagem, cozido, c/ óleo, cebola e alho, c/ sal",BRC0995A,"Arroz selvagem, cozido, c/ óleo, cebola e alho, c/ sal",True,101.0,55.0,0.4,True,162,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
