food_original,current_tbca_name,current_tbca_code,occurrence_count,profiles,review_status,candidate_1,candidate_1_code,candidate_1_score,candidate_2,candidate_2_code,candidate_2_score,candidate_3,candidate_3_code,candidate_3_score,candidate_4,candidate_4_code,candidate_4_score,candidate_5,candidate_5_code,candidate_5_score
"Arroz, integral, cozido, c/ óleo, cebolha e alho, c/ sal","Arroz, integral, cozido, c/ óleo, cebola e alho, s/ sal",BRC0210A,391,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Arroz, integral, cozido, c/ óleo, cebola e alho, c/ sal, Brasil",BRC0211A,0.89382,"Arroz selvagem, cozido, c/ óleo, cebola e alho, c/ sal",BRC0995A,0.73966,"Arroz selvagem, cozido, c/ óleo, cebola e alho, s/ sal",BRC0996A,0.73966,"Arroz polido, cozido, c/ óleo de soja, cebola e alho, c/ sal, Brasil",BRC0209A,0.68785,"Arroz, polido, cozido, c/ óleo de soja, cebola e alho, s/ sal, Brasil",BRC0208A,0.68785
"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal","Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, s/ sal, Brasil",BRC0090T,276,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Feijão carioca, cozido (50% grão e 50% caldo), c/ óleo de soja, cebola e alho, c/ sal, Brasil",BRC0091T,0.94151,"Feijão, preto, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, s/ sal",BRC0107T,0.88952,"Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",BRC0100T,0.88602,"Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, s/ sal",BRC0099T,0.88602,"Feijão, preto, cozido (50% grão e 50% caldo), c/ óleo e cebola e alho, c/ sal",BRC0108T,0.88135
"Tomate, in natura","Pitaia,in natura",BRC0225C,262,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Tomate, cru, Brasil",BRC0035B,1.0,"Tomate recheado, c/ sal",BRC0845B,0.414,"Tomate recheado, s/ sal",BRC0846B,0.414,"Bruschetta, c/ tomate, c/ sal",BRC0735A,0.39444,"Bruschetta, c/ tomate, s/ sal",BRC0736A,0.39444
"Suco, laranja, s/ açúcar","Suco, laranjada, c/ açúcar",BRC0108C,255,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Suco, laranja, Baía, s/ açúcar",BRC0040C,0.82355,"Suco, laranja, Lima, s/ açúcar",BRC0041C,0.82355,"Suco, laranja, Valência, s/ açúcar",BRC0043C,0.78218,"Suco, laranja, s/ açúcar (média diferentes variedades)",BRC0038C,0.76403,"Suco, néctar, laranja, c/ suco de maçã, c/ açúcar, Brasil",BRC0249C,0.65
"Iogurte, natural, desnatado","Iogurte, natural, desnatado, Brasil",BRC0023G,249,regular|vegetarian,PENDING_MANUAL_REVIEW,"Iogurte, natural (média de diferentes amostras), Brasil",BRC0020G,0.7125,"Iogurte, natural, Brasil",BRC0021G,0.7125,"Iogurte, natural, desnatado, c/ aveia, flocos",BRC0112G,0.70651,"Iogurte, natural, c/ aveia, flocos",BRC0110G,0.55358,"Iogurte, grego, integral, natural (dado importado)",BRC0133G,0.47429
"Pão francês, trigo, branco, de padaria (médias de diferentes amostras)","Queijo, prato, Brasil (média de diferentes amostras)",BRC0064G,238,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Pão francês (cacetinho, de sal, média), de padaria, c/ farinha de trigo refinada, Brasil  (médias de diferentes amostras)",BRC0002A,0.5125,"Pão francês, c/ geleia",BRC1158A,0.48,"Pão francês, c/ requeijão",BRC0469A,0.46132,"Pão francês, c/ tucumã",BRC0882A,0.458,"Pão, c/ farinha de trigo, vegano, caseiro",BRC1074A,0.45625
"Bebida, café, infusão 10%, s/ açúcar","Bebida, café, infusão 10%, c/ açúcar",BRC0042H,237,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Bebida, café, infusão 10%, s/ açúcar, Brasil",BRC0007H,1.0,"Bebida, café, infusão 10%, s/ açúcar, c/ farinha de mandioca",BRC0159H,0.74676,"Bebida, café, infusão 6% - suave, c/ açúcar",BRC0061H,0.72857,"Bebida, café, infusão 6% - suave, s/ açúcar, Brasil",BRC0060H,0.72857,"Bebida, café, infusão 8% - médio, c/ açúcar",BRC0063H,0.72857
"Aveia, crua (média de diferentes tipos)","Aveia, crua, Brasil (média de diferentes tipos)",BRC0021A,226,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Aveia, fibras, Brasil",BRC0023A,0.54853,"Mingau, de aveia",BRC0053G,0.54853,"Aveia, farinha, crua, Brasil",BRC0022A,0.53056,"Aveia, flocos, finos, Brasil",BRC0024A,0.38913,"Aveia, flocos, finos, Brasil",BRC0026A,0.38913
"Alface, crua","Alface, crua, Brasil",BRC0009B,222,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Alface, lisa, crua, Brasil",BRC0061B,0.61324,"Alface, roxa, crua, Brasil",BRC0062B,0.61324,"Alface, crespa, crua, brasil",BRC0060B,0.57237,"Alface, americana, crua, Brasil",BRC0063B,0.525,"Salada, alface lisa, s/ óleo, s/ sal",BRC0589B,0.29
"Banana, in natura","Banana, Figo,in natura, Brasil",BRC0093C,215,regular|vegan|vegetarian,PENDING_MANUAL_REVIEW,"Banana, maçã,in natura, Brasil",BRC0009C,0.61324,"Banana, ouro,in natura, Brasil",BRC0010C,0.61324,"Cuca, banana",BRC0770A,0.61324,"Banana, da terra,in natura, Brasil",BRC0008C,0.59167,"Banana, prata,in natura, Brasil",BRC0011C,0.59167
"Leite, vaca, desnatado, fluído (média de diferentes amostras)","Leite, vaca, desnatado, fluído (média de diferentes amostras), Brasil",BRC0036G,215,regular|vegetarian,PENDING_MANUAL_REVIEW,"Leite, cabra, desnatado, fluído, Brasil",BRC0029G,0.77,"Leite, vaca, desnatado, em pó, Brasil",BRC0038G,0.754,"Leite, vaca, desnatado, UHT, Brasil",BRC0070G,0.74451,"Leite, vaca, desnatado, c/chocolate, Brasil",BRC0037G,0.69456,"Leite, vaca, c/ chocolate, fluido, Brasil",BRC0033G,0.67741
