profile,food_name,meal_name,positive_occurrences,distinct_source_diets,minimum_positive_g,maximum_positive_g,p05_positive_g,p95_positive_g,robust_percentile_sensitivity_available,support_strength,is_serving_recommendation
regular,"Abacate, polpa, in natura",Ceia,17,17,100.0,120.0,,,False,observed_support,False
regular,"Abacate, polpa, in natura",Lanche da Manhã,6,6,80.0,100.0,,,False,observed_support,False
regular,"Abacaxi, polpa, in natura",Café da Manhã,7,7,100.0,100.0,,,False,observed_support,False
regular,"Abobrinha, italiana, c/ casca, cozida, drenada, s/ óleo, c/ sal",Almoço,3,3,80.0,80.0,,,False,weak_lt_5_occurrences,False
regular,"Abobrinha, italiana, c/ casca, crua",Almoço,1,1,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Abobrinha, italiana, c/ casca, crua",Jantar,1,1,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",Almoço,21,20,60.0,100.0,80.0,100.0,True,observed_support,False
regular,"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal",Jantar,27,24,80.0,120.0,86.0,100.0,True,observed_support,False
regular,"Abóbora, moranga, refogada (c/ óleo, cebolha e alho), c/ sal",Almoço,10,10,100.0,100.0,,,False,observed_support,False
regular,"Abóbora, moranga, refogada (c/ óleo, cebolha e alho), c/ sal",Jantar,6,6,100.0,120.0,,,False,observed_support,False
regular,"Acelga, crua",Jantar,1,1,50.0,50.0,,,False,weak_lt_5_occurrences,False
regular,"Alface, crua",Almoço,62,50,50.0,100.0,50.0,50.0,True,observed_support,False
regular,"Alface, crua",Jantar,20,16,30.0,100.0,49.0,52.5,True,observed_support,False
regular,"Amendoim, grão, cru",Lanche da Manhã,4,4,15.0,20.0,,,False,weak_lt_5_occurrences,False
regular,"Amendoim, grão, cru",Lanche da Tarde,7,7,20.0,20.0,,,False,observed_support,False
regular,"Amendoim, torrado, c/ sal",Lanche da Manhã,11,11,15.0,30.0,,,False,observed_support,False
regular,"Amendoim, torrado, c/ sal",Lanche da Tarde,7,7,20.0,20.0,,,False,observed_support,False
regular,"Amêndoa, torrada, c/ sal",Ceia,3,3,10.0,15.0,,,False,weak_lt_5_occurrences,False
regular,"Amêndoa, torrada, c/ sal",Lanche da Manhã,2,2,15.0,15.0,,,False,weak_lt_5_occurrences,False
regular,"Arroz com brócolis, c/ arroz polido, c/ sal",Almoço,7,7,180.0,180.0,,,False,observed_support,False
regular,"Arroz com brócolis, c/ arroz polido, c/ sal",Jantar,1,1,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Arroz, integral, cozido, c/ óleo, cebolha e alho, c/ sal",Almoço,80,48,120.0,200.0,120.0,180.0,True,observed_support,False
regular,"Arroz, integral, cozido, c/ óleo, cebolha e alho, c/ sal",Jantar,21,20,100.0,150.0,100.0,150.0,True,observed_support,False
regular,"Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal",Almoço,53,35,100.0,200.0,112.0,188.0,True,observed_support,False
regular,"Arroz, polido, cozido, c/ óleo, cebola e alho, c/ sal",Jantar,30,27,100.0,200.0,100.0,166.5,True,observed_support,False
regular,"Aveia, crua (média de diferentes tipos)",Café da Manhã,3,3,50.0,50.0,,,False,weak_lt_5_occurrences,False
regular,"Aveia, crua (média de diferentes tipos)",Ceia,2,2,20.0,30.0,,,False,weak_lt_5_occurrences,False
regular,"Aveia, crua (média de diferentes tipos)",Lanche da Manhã,61,48,15.0,30.0,20.0,30.0,True,observed_support,False
regular,"Aveia, crua (média de diferentes tipos)",Lanche da Tarde,28,23,20.0,40.0,20.0,30.0,True,observed_support,False
regular,"Azeite, oliva",Almoço,52,14,5.0,15.0,6.65,15.0,True,observed_support,False
regular,"Azeite, oliva",Jantar,10,6,5.0,10.0,,,False,observed_support,False
