profile,approach,metric,statistic,value,unit,n,comparison_basis
Regular,Base,Carboidrato disponível,mean_daily,197.640174,g/day,50,diet files used by the main submitted tables
Regular,GA-Food,Carboidrato disponível,mean_daily,216.7794,g/day,1,diet files used by the main submitted tables
Regular,GA-Food,Carboidrato disponível,relative_change_from_base_percent,9.683874,percent,1,same-profile Base mean
Regular,GA-Meal,Carboidrato disponível,mean_daily,236.1646,g/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Carboidrato disponível,relative_change_from_base_percent,19.492204,percent,1,same-profile Base mean
Regular,LP-Food,Carboidrato disponível,mean_daily,240.6334,g/day,1,diet files used by the main submitted tables
Regular,LP-Food,Carboidrato disponível,relative_change_from_base_percent,21.753283,percent,1,same-profile Base mean
Regular,LP-Meal,Carboidrato disponível,mean_daily,257.2414,g/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Carboidrato disponível,relative_change_from_base_percent,30.156433,percent,1,same-profile Base mean
Regular,Base,Colesterol,mean_daily,481.876008,mg/day,50,diet files used by the main submitted tables
Regular,GA-Food,Colesterol,mean_daily,255.203,mg/day,1,diet files used by the main submitted tables
Regular,GA-Food,Colesterol,relative_change_from_base_percent,-47.039696,percent,1,same-profile Base mean
Regular,GA-Meal,Colesterol,mean_daily,286.4616,mg/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Colesterol,relative_change_from_base_percent,-40.55284,percent,1,same-profile Base mean
Regular,LP-Food,Colesterol,mean_daily,22.3002,mg/day,1,diet files used by the main submitted tables
Regular,LP-Food,Colesterol,relative_change_from_base_percent,-95.372212,percent,1,same-profile Base mean
Regular,LP-Meal,Colesterol,mean_daily,291.038,mg/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Colesterol,relative_change_from_base_percent,-39.603135,percent,1,same-profile Base mean
Regular,Base,Cálcio,mean_daily,1085.529212,mg/day,50,diet files used by the main submitted tables
Regular,GA-Food,Cálcio,mean_daily,1319.1296,mg/day,1,diet files used by the main submitted tables
Regular,GA-Food,Cálcio,relative_change_from_base_percent,21.519493,percent,1,same-profile Base mean
Regular,GA-Meal,Cálcio,mean_daily,1299.1428,mg/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Cálcio,relative_change_from_base_percent,19.67829,percent,1,same-profile Base mean
Regular,LP-Food,Cálcio,mean_daily,999.73343,mg/day,1,diet files used by the main submitted tables
Regular,LP-Food,Cálcio,relative_change_from_base_percent,-7.90359,percent,1,same-profile Base mean
Regular,LP-Meal,Cálcio,mean_daily,1094.5468,mg/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Cálcio,relative_change_from_base_percent,0.830709,percent,1,same-profile Base mean
Regular,Base,Energia,mean_daily,1916.3116,kcal/day,50,diet files used by the main submitted tables
Regular,GA-Food,Energia,mean_daily,2151.69,kcal/day,1,diet files used by the main submitted tables
Regular,GA-Food,Energia,relative_change_from_base_percent,12.282888,percent,1,same-profile Base mean
Regular,GA-Meal,Energia,mean_daily,2022.26,kcal/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Energia,relative_change_from_base_percent,5.528767,percent,1,same-profile Base mean
Regular,LP-Food,Energia,mean_daily,2099.428,kcal/day,1,diet files used by the main submitted tables
Regular,LP-Food,Energia,relative_change_from_base_percent,9.555669,percent,1,same-profile Base mean
Regular,LP-Meal,Energia,mean_daily,2150.78,kcal/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Energia,relative_change_from_base_percent,12.235401,percent,1,same-profile Base mean
Regular,Base,Ferro,mean_daily,11.845112,mg/day,50,diet files used by the main submitted tables
Regular,GA-Food,Ferro,mean_daily,15.171,mg/day,1,diet files used by the main submitted tables
Regular,GA-Food,Ferro,relative_change_from_base_percent,28.078152,percent,1,same-profile Base mean
Regular,GA-Meal,Ferro,mean_daily,13.7572,mg/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Ferro,relative_change_from_base_percent,16.142426,percent,1,same-profile Base mean
Regular,LP-Food,Ferro,mean_daily,15.96752,mg/day,1,diet files used by the main submitted tables
Regular,LP-Food,Ferro,relative_change_from_base_percent,34.802613,percent,1,same-profile Base mean
Regular,LP-Meal,Ferro,mean_daily,16.4878,mg/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Ferro,relative_change_from_base_percent,39.194974,percent,1,same-profile Base mean
Regular,Base,Fibra alimentar,mean_daily,28.983908,g/day,50,diet files used by the main submitted tables
Regular,GA-Food,Fibra alimentar,mean_daily,34.1423,g/day,1,diet files used by the main submitted tables
Regular,GA-Food,Fibra alimentar,relative_change_from_base_percent,17.797434,percent,1,same-profile Base mean
Regular,GA-Meal,Fibra alimentar,mean_daily,35.3791,g/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Fibra alimentar,relative_change_from_base_percent,22.06463,percent,1,same-profile Base mean
Regular,LP-Food,Fibra alimentar,mean_daily,72.72159,g/day,1,diet files used by the main submitted tables
Regular,LP-Food,Fibra alimentar,relative_change_from_base_percent,150.903329,percent,1,same-profile Base mean
Regular,LP-Meal,Fibra alimentar,mean_daily,49.8892,g/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Fibra alimentar,relative_change_from_base_percent,72.127237,percent,1,same-profile Base mean
Regular,Base,Lipídios,mean_daily,63.880126,g/day,50,diet files used by the main submitted tables
Regular,GA-Food,Lipídios,mean_daily,82.1908,g/day,1,diet files used by the main submitted tables
Regular,GA-Food,Lipídios,relative_change_from_base_percent,28.664117,percent,1,same-profile Base mean
Regular,GA-Meal,Lipídios,mean_daily,63.6579,g/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Lipídios,relative_change_from_base_percent,-0.34788,percent,1,same-profile Base mean
Regular,LP-Food,Lipídios,mean_daily,61.08976,g/day,1,diet files used by the main submitted tables
Regular,LP-Food,Lipídios,relative_change_from_base_percent,-4.368129,percent,1,same-profile Base mean
Regular,LP-Meal,Lipídios,mean_daily,64.0512,g/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Lipídios,relative_change_from_base_percent,0.267805,percent,1,same-profile Base mean
Regular,Base,Pegada de Carbono,mean_daily,6638.01004,gCO2eq/day,50,diet files used by the main submitted tables
Regular,GA-Food,Pegada de Carbono,mean_daily,5304.71,gCO2eq/day,1,diet files used by the main submitted tables
Regular,GA-Food,Pegada de Carbono,relative_change_from_base_percent,-20.085839,percent,1,same-profile Base mean
Regular,GA-Meal,Pegada de Carbono,mean_daily,5450.83,gCO2eq/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Pegada de Carbono,relative_change_from_base_percent,-17.884577,percent,1,same-profile Base mean
Regular,LP-Food,Pegada de Carbono,mean_daily,112.402,gCO2eq/day,1,diet files used by the main submitted tables
Regular,LP-Food,Pegada de Carbono,relative_change_from_base_percent,-98.306691,percent,1,same-profile Base mean
Regular,LP-Meal,Pegada de Carbono,mean_daily,2499.8,gCO2eq/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Pegada de Carbono,relative_change_from_base_percent,-62.341124,percent,1,same-profile Base mean
Regular,Base,Proteína,mean_daily,123.348076,g/day,50,diet files used by the main submitted tables
Regular,GA-Food,Proteína,mean_daily,119.1802,g/day,1,diet files used by the main submitted tables
Regular,GA-Food,Proteína,relative_change_from_base_percent,-3.378955,percent,1,same-profile Base mean
Regular,GA-Meal,Proteína,mean_daily,108.5314,g/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Proteína,relative_change_from_base_percent,-12.012085,percent,1,same-profile Base mean
Regular,LP-Food,Proteína,mean_daily,109.95407,g/day,1,diet files used by the main submitted tables
Regular,LP-Food,Proteína,relative_change_from_base_percent,-10.858707,percent,1,same-profile Base mean
Regular,LP-Meal,Proteína,mean_daily,111.6748,g/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Proteína,relative_change_from_base_percent,-9.463687,percent,1,same-profile Base mean
Regular,Base,Sódio,mean_daily,2125.994476,mg/day,50,diet files used by the main submitted tables
Regular,GA-Food,Sódio,mean_daily,2784.9589,mg/day,1,diet files used by the main submitted tables
Regular,GA-Food,Sódio,relative_change_from_base_percent,30.995585,percent,1,same-profile Base mean
